osc,initial_description,transition_description,finished_description
rolling_crust,"Initial state: a small pale-beige dough ball resting on a lightly floured surface. Roughly round, about 5–8 cm across and 2–3 cm high, with a smooth yet tacky surface and a light flour dusting; ivory color with tiny specks, cool to the touch. The baker has just placed the dough and is beginning to flatten it—palm-pressing and gentle fingertip guidance to start shaping into a disk, not yet rolling or stretching.","During rolling, the dough forms a thin sheet, typically circular to oval, with near-uniform thickness. The surface is pale with a light flour dusting; slight sheen where moist, matte where dry. Tiny air pockets may indent the sheet; edges are straighter but still irregular. Minor cracks can appear at thin rims. The roller applies even pressure, rotates the dough, dusts with flour, and lifts/repositions to maintain shape and prevent sticking.","End state: a uniformly thin sheet of dough, smooth surface, clean edges trimmed to fit the pan; consistent thickness (about 2–3 mm); pale beige with a light flour dusting; pliable, not sticky, ready for transfer. The person is likely lifting or placing the sheet into a pie or tart pan, trimming any overhang, and chilling or docking before filling."
rolling_cheese,"Initial state: a single block or wedge of cheese, roughly cuboid to oval, fist-sized to dinner-plate-sized. It has a smooth rind or clean surface, pale ivory to light yellow in color. The texture is firm but pliable, not crumbly. It sits stationary on a flat board. The beginner places both hands on the cheese, aligned to edges or center, ready to apply steady pressure and begin shaping it.","During rolling, the cheese forms a flexible mass that remains cohesive yet deforms under contact. It appears as a pale yellow to golden log with a glossy rind; surface may show ridges and indentations from hands or rolling tool. The diameter shifts as pressure is applied, creating a tapered or uneven cross-section. The texture ranges from soft and pliant to firm yet pliable, with a moisture sheen. The roller’s hands drift along its length, guiding, rotating, and re-pressing.","End state: a neat, uniform cylindrical log (or wheel) of cheese with a smooth surface and tight rind, pale ivory to light amber color depending on variety. The texture is firm but sliceable, not crumbling. Size matches the batch. The finished cheese rests on a clean surface or rack, ready for aging or packaging. The worker may wrap it in cheesecloth or wax, apply a label, and move it to aging shelves or a cooler."
zesting_lemon,"Initial state: a whole lemon, about 2–3 inches long, oval to oblong, with bright yellow, taut, dimpled rind and a glossy finish. No zest has been removed; the skin shows its textured surface. A microplane or citrus zester hovers at the rind’s edge, its blade just in contact or about to contact. The person steadies the lemon with one hand and positions the tool with the other, applying light, even pressure to initiate contact.","Mid-zest stage, the lemon surface bears patches where the yellow rind has been removed, revealing pale underlayers. Fragments of zest—thin curls or fine shavings—collect on the grater or plate, glossy and slightly oily. The strips vary in width and length, some curling as they lift, others remaining flat. The hand steadies and rotates the fruit to expose more rind while the other guides the tool and gathers zest.","End state: a small mound or handful of bright yellow lemon zest, free of white pith, composed of fine shreds or microflakes, 1–3 mm wide or very thin curls; oily sheen from citrus oils; aroma vivid, texture delicate and fluffy to slightly crumbly. Color ranges bright yellow to pale gold. The person may then whisk it into batter, fold into a sauce, or sprinkle over a finished dish as garnish."
zesting_orange,"At the start, a fresh orange sits with intact rind. Size is medium (about 6–7 cm in diameter), round-to-oval, bright orange with a slightly glossy, dimpled skin and visible oil glands. The rind is firm and taut. A hand steadies the fruit or rests on a board as a zester (microplane) just touches the rind, signaling the beginning of zesting.","Intermediate zesting state shows uneven ribbons and irregular shreds of bright orange rind accumulating around the tool. Thin, flexible strips curl as citrus oils sheen their surfaces; tiny shavings disperse in a fine dust along the cutting edge. The exposed zest is mostly orange, with a pale, fibrous rind near the white pith. The person alternates grip and pressure, guiding a peeler or zester across the fruit, rotating to access fresh patches, scraping lightly to avoid pith.","End state: collected zest appears as bright orange shavings—fine threads or curls, or small granules—ranging in thickness about 0.5–2 mm, length up to several cm (often shorter with a microplane). The pieces have a glossy oil sheen and no white pith. Color is vivid orange; texture is dry to slightly oily. The person finished zesting is likely transferring zest to a bowl or recipe, or smelling/using it as they continue cooking."
zesting_lime,"At the start, the lime is whole and intact: roughly 3–4 cm in diameter, oval to spherical, with a bright green, glossy, slightly dimpled rind. The rind’s zest sits atop a thinner, pale white pith beneath. A microplane or citrus zester is held near the fruit; one hand grips the lime, the other rests the tool at a shallow angle, preparing to engage the rind with light pressure, the fruit cool and firm to the touch.","Mid-zest: the lime's rind is partly shaved, revealing patches of glossy green and pale pith beneath. Fine curls or thin strips lift from the fruit, winding into loose spirals or ragged flakes. The zest pieces vary in length and thickness; some delicate shavings, others wider ribbons. The surface feels oily and fragrant; edges are rough and slightly damp from juice. One hand rotates the lime while the other guides the tool, collecting bits on the board.","End state: lime zest appears as bright green, fragrant shavings or fine curls, typically 1–3 mm thick if grated or a few mm if ribboned. Pieces are free of white pith, moist with essential oils, and clumped into a loose pile or scattered across a bowl. The zest is usually uniform in color and texture, not browned. The finished person may be scooping the zest into a recipe or moving on to juice or seasoning."
zesting_citrus,"Initial state: a citrus fruit, round to oval, palm-sized to small, bright yellow or orange rind, slightly textured, with a thin glossy oil sheen. The outer peel is intact and has not yet been removed. A hand holds a microplane or citrus peeler and the blade is just touching the rind at a shallow angle, starting to skim the surface.","During zesting, citrus skin yields thin, curlable strips and wispy shavings. The zest is bright orange (or yellow) with a glossy, oily sheen; edges range from smooth to slightly ragged. Strips are about 2–4 cm long and 1–3 mm wide, sometimes curly, with tiny specks of pale pith where the tool catches it. The surface is moist and oily from essential oils. The person uses a microplane or peeler, applying steady pressure and light rotation to lift zest.","End state: zest appears as thin ribbons or fine shreds of citrus rind, bright yellow/orange/green, depending on variety. Strips are 1 to 5 cm long, very thin and pliable, with a glossy, oily surface, largely free of pith, and highly fragrant. The person finished zesting is likely adding it to a recipe, measuring or sprinkling zest into a dish, or cleaning the tool."
zesting_grapefruit,"Whole grapefruit, about 9–10 cm diameter, round to slightly oblate, bright yellow-orange rind with a dimpled, glossy texture. The rind is intact and unrevealed. A handheld grater/zester hovers ready in one hand while the other steadies the fruit on a cutting board; the tool’s edge is positioned to begin at the rind’s surface with light pressure, about to start grating the zest.","During zesting in progress, grapefruit surfaces show bright yellow or orange patches where zest has been removed and exposed citrus pulp; remaining rind forms uneven ridges. Long, curled strips and fine shavings collect on the grater and bench, with glossy citrus oil beading on the zest and board. The zester or microplane is angled to shave off the colored zest while avoiding the white pith, and the person rotates the fruit, applying pressure and scraping in short, deliberate motions.","End state: bright yellow-orange grapefruit zest in fine shreds or curls, uniformly sized, lightly oily with citrus oils. The rind is zest-free; the surface is pale. A small pile or bowl holds the zest, ready for use. The person finished with zesting would likely add it to a dish or batter, use it as garnish, or transfer it to a container, then clean the tools."
zesting_clementine,"An intact clementine sits small and round (about 2.5–3.5 cm diameter) with a bright orange, smooth yet slightly dimpled rind. The rind looks glossy, with visible oil glands; the white pith peeks at the seam. A zester or paring knife is poised at the fruit’s curve in the hand, the person steadying the citrus and applying gentle pressure to the rind, ready to begin scraping.","During zesting a clementine, the rind yields bright orange zest curls and ribbons; some short flakes, some long strips, with a glistening oil sheen. Pith remains mostly unseen beneath sparse white layers. Shavings vary in thickness and curl as the grater or microplane is rotated and pressed, leaving a stray pile and scattered zest on the cutting surface. The person twists the fruit, angles the tool, and collects zest while avoiding puncturing into the pith.","End state: Clementine zest shavings or ribbons, 1–2 mm thick, curled or flat, with no white pith. The zest is dry but oily to the touch, highly aromatic, and bright orange. Collected in a small bowl or measuring spoon, ready to be added to a dish. The person finished zesting is likely transferring the zest to the bowl, measuring it, or starting to mix it into batter or garnish."
squeezing_lemon,"Initial state: a whole lemon, palm-sized, bright yellow rind, smooth to slightly dimpled texture, evenly colored with fine pores and a few tiny blemishes. It feels firm but springy to light pressure. The person begins by grasping the fruit with fingers curled around the rind and the thumb poised on top, steadying it in the palm to apply squeezing pressure.","During squeezing, the lemon half deforms under palm pressure: the rind puckers, remains bright yellow, and darkens slightly; edges compress to a cupped curve, and the cut face becomes glossier with wet juice, and the surface widens as pulp loosens. Juice beads collect and begin to stream from segments; pulp loosens, membranes appear translucent, and tiny seeds may ride the liquid. The person’s grip tightens, hand rotates, and wrist flexes to apply more pressure, palms slick with juice.","End state: a squeezed lemon half with the rind bright yellow and slightly puckered; interior membranes collapsed and mostly devoid of juice, leaving a dry, spongy pulp core. Any collected juice appears as a translucent, pale-yellow pool in a nearby bowl or measuring cup, with a few seeds. The person finished with squeezing might be pouring the juice, scraping residue into the container, or wiping hands and placing the rind aside."
squeezing_lime,"Initial state: a whole lime, about 3–4 cm in diameter, roughly spherical with a slightly flattened top. The rind is bright green, pebbled and glossy, firm to the touch. No cuts or juice visible. The person is just starting to grip it—fingers wrapped around the citrus, one hand stabilizing while the other prepares to press downward.","Mid-squeeze lime: the rind remains bright green, the cut surface or wedge now slick with citrus oil, glistening droplets bead along the lip. The exposed pulp appears translucent and fibrous, with juice threads visible as pressure is applied. The fruit compresses, flattening to reveal dimples and indentations; juice pools and beads on the skin. The person may grip the lime, apply downward pressure with knuckles tensed, rotate slightly, and maintain steady squeeze.","End state: squeezed lime halves collapsed, with exposed pulp and membranes; most juice drained. A pale green–yellow liquid sits in a cup or bowl, translucent with a thin foam. The rind stays green and intact but wrinkled or dry to the touch. The juiced fruit is set aside or discarded; the person might pour the juice into a drink or recipe, or wipe up spills."
squeezing_orange,"An intact orange: roughly 2.5–3 inches in diameter, round to slightly oval, bright orange skin with fine dimples, firm yet yielding to touch, no splits or juice. The fruit is uncut and unbroken. The person is about to engage: hands positioned around the fruit, fingers curved and thumbs opposing, wrist steady, preparing to apply pressure.","During the squeezing process, the orange deforms from round to a flattened, oblong shape as the rind dents under fingers. The size reduces; the skin darkens slightly where pressure is concentrated. The surface becomes glossy and damp from citrus oil, with fine wrinkles forming along the pressed areas. Juice beads and seeps at the seams. The person applies downward pressure, sometimes twisting or rolling the fruit to coax juice.","End state: A glass or pitcher of bright orange juice, slightly opaque with pulp strands; surface glossy with droplets. The squeezed orange renders a punctured or split rind and a hollow, flattened fruit, with residual dry pulp around the cavity. Color vivid orange; liquid is smooth to moderately pulpy. The person finished might be pouring, sipping, wiping hands, or setting the glass down and cleaning the juicer."
squeezing_garlic,"Initially, a single garlic clove in dry, papery skin. The clove is oval-teardrop shaped, about 1–2 cm long and 0.5–1 cm wide, pale ivory with faint purple skin markings. The surface is smooth and firm; the skin is slightly translucent and flaky. The person is just starting to squeeze by lightly pinching the clove between thumb and forefinger or placing it in a garlic press, with no crush yet.","During squeezing, garlic cloves loosen their skins and fracture into irregular pieces of varying size. The mash is damp and chunky, white to pale-yellow as oils are released. The surface becomes glossy and slightly translucent, with moisture beads and occasional fibers. Papery skins cling to the tool, while some bits collapse into mush and others stay coarse. The person applies downward pressure, twists or grinds, scraping to collect paste and release oils and droplets.","End state of squeezing garlic: a pale ivory to pale yellow minced paste, with very small, uniform particles or a smooth puree. It is moist and slightly oily, often translucent at the edges, with no visible clove shapes. The mass sits as a small mound or touches the pan. After squeezing, the person might sauté it in oil, stir it into a sauce, or scrape the paste into a skillet or bowl, then clean the press."
squeezing_potato,"Initial state: a fresh medium potato, oval to oblong, about fist-sized (6–8 cm), brown papery skin with dirt specks, eyes visible, firm and dense with no soft spots. Onset of squeezing: the person grips it with one hand, fingers curling around the sides, thumb opposite, light preparatory pressure beginning, palm stabilizing as contact is made.","During squeezing, the potato takes on irregular, dented contours: flattened lobes, ridges, and valleys; the profile becomes asymmetric and squashed, with a slightly softer, yielding feel under the fingertips. The skin may become glassy where pressed, and tiny cracks or wrinkles appear around contact zones. Juicy moisture or starch can bead on the surface. The person presses with fingertips or palms, often cyclically, rotates or shifts grip to distribute pressure and test elasticity, while maintaining continuous compression.","End state: The potato is compressed and misshapen with a flattened profile; the surface is damp and shiny, and exposed flesh is pale yellow while skin may patchily remain. The mass is soft, mushy, and sloppy, with reduced volume and no defined edge. After squeezing, the person may scoop the pulp into a bowl, rinse their hands, and proceed to mash, peel, or otherwise discard or repurpose the squeezed potato."
squeezing_spinach,"Initial state: Fresh spinach leaves, intact and loosely bundled; leaves bright to dark green, crisp, with visible veins; surface slightly glossy, possibly with water droplets from washing; slender pale stems. Just as squeezing begins, a person lifts a small handful, aligns the stems, and centers the leaves in the palm, fingers lightly closing around the base to grip without applying pressure yet.","In progress, spinach leaves are damp and crumpled, folding into a compact bundle. Color is a deeper green with glossy, translucent wet patches and occasional yellowing at edges. The leaves appear puckered and twisted; edges curl as capacity to hold water increases. Juice beads on surfaces; the texture is slippery and fibrous, with soft stem fragments. The person is twisting, wringing, and pressing the bundle—often rotating hands or squeezing in a cloth to extract moisture, repeatedly.","End state: A compact, wrung-out mass of dark green spinach leaves, damp but not dripping, formed into a dense clump or flattened puck. Color remains deep emerald with a slightly glossy surface; stems are shortened and the tissue appears tender and pliable, with a fibrous, leaf-pulp texture. The volume is reduced compared with fresh spinach. The person has finished squeezing and is likely to sauté it, fold it into a filling, or mix it into a dish."
squeezing_avocado,"Initial state: a whole avocado (oval/pear-shaped, about 7–12 cm) with dark, slightly pebbled skin; or a halved fruit exposing pale yellow-green flesh and a removed pit. The surface is firm to the touch if unripe, or yields slightly if ripe. In this moment, the person cradles or lifts the fruit with both hands, fingers curved around the sides, thumbs ready to apply light pressure—no squeezing has begun yet.","During squeezing, the flesh is partially crushed and malleable, forming irregular lobes with shallow indentations. The color shifts from bright green to olive where mashed, with wet sheen and visible fiber. Chunks remain in softer, mushy areas, giving a heterogeneous texture. The exterior skin is still present at the edges. The person is applying pressure with fingers or a utensil, smoothing, folding, and rotating to break apart the flesh and distribute moisture.","End state: a smooth, spoonable green paste—uniform olive-to-lime color, glossy surface, and creamy, velvety to lightly chunky texture; compact mound or dollop about a small scoop in size with minimal liquid. It may resemble spread on bread or a base for guacamole. After squeezing, the person might be spreading it on toast, folding it into a dish, or seasoning before serving."
squeezing_zucchini,"Initial state: a fresh zucchini, elongated cylindrical shape about 6 to 8 inches, even width with a slight taper at ends. Skin is dark green, smooth and glossy, with no blemishes. The flesh is firm and crisp to the touch; cool to the palm. The person begins by picking up one zucchini, holding it in one hand, and applying light pressure with fingertips to test firmness, while turning it to inspect the surface.","During ongoing squeezing, the zucchini deforms under pressure: the once-smooth cylinder develops pinches and ridges along its length. The green skin remains, but a damp sheen and small juice beads highlight contact points. The flesh near pressed areas looks slightly translucent and fibrous, and the length appears subtly shortened as it yields. The person keeps a firm grip with fingers and palm, applies steady pressure, sometimes twists or rolls to direct moisture outward, or wrings it with a towel.","End state: a zucchini that’s squeezed is flattened and compact, often disk- or pill-shaped, with reduced volume. The green skin remains visible; the interior flesh is pale and fibrous. The texture is dry to the touch, with most moisture expelled—any dampness clinging to the surface or the squeezing cloth. The user might pat it dry, drain it in a cloth or colander, then chop, grate, or add it to a recipe."
squeezing_tomato,"Initial state: A ripe, palm-sized tomato resting over a cutting board. Round to slightly flattened, 4–7 cm diameter. Skin smooth, taut, glossy red with a small green stem scar at the crown. Surface appears firm to the touch with even color and faint ridges near the top. The hand holds the fruit with a light grip at its sides; fingertips and thumb poised to apply pressure, but no deformation yet.","During squeezing, the tomato's skin puckers and wrinkles where pressure concentrates. The shape flattens and bulges as fingertips indent and push inward. Juices bead and run, dampening the surface; color may deepen at pressed areas. Internal pulp becomes visible through slight tears; seeds may appear near the breach. The person applies sustained fingertip or palm pressure, often rolling or twisting to extract juice into a container.","End state: A crushed tomato forms a flattened, irregular mass of red pulp with released juice; skins torn, seeds visible or dispersed; texture ranges from thick puree to watery mush; color deep red to orange-red with liquid pooling on the surface. What they might be doing next: transferring the pulp to a bowl or pot, straining or cooking it, and washing hands or the squeezing tool."
squeezing_grapefruit,"Initial state: a whole grapefruit, about 4 inches in diameter, round-to-oval, with a thick, taut rind; color ranges from yellow to pale orange, slightly glossy and pebbled. The fruit is firm yet yields a mild give when pressed, signaling ripeness. The person starting to squeeze typically holds the fruit in one hand (fingers wrapped around the sides, thumb at the top), preparing to apply pressure.","Mid-squeeze, the grapefruit shows localized deformation: the rind puckers and bulges where fingers press, so the round fruit becomes irregularly oval. The surface remains yellow-orange, but pressed zones may look slightly darker and glossier as juice beads form and moisture pools. You can feel a firm yet yielding give beneath the skin, with faint seams or wrinkles where the segments push outward. The person grips with palm and fingertips, rotating or shifting pressure to maintain contact and coax juice.","End state: The juiced grapefruit appears flattened and deformed, with a wrinkled rind and a damp, glossy interior. The rind may darken slightly; flesh segments are exposed or collapsed, with remaining juice beads on moist pulp. The fruit is visibly lighter in volume. The juiced fruit may be resting or set aside, while the person is wiping hands, pouring juice into a container, or discarding the rind."
squeezing_cabbage,"Initial state: a whole cabbage head, round to oval, about 6–8 inches across, with tight, crisp green leaves wrapping a pale core. Outer leaves are glossy, green with white veins, some slight crinkling, but intact; the head feels firm and heavy. The person is just starting to squeeze: cradling the head with both hands, lifting or rotating it, and perhaps peeling away a loose outer leaf to access the center.","During squeezing, the cabbage mass flattens and becomes irregular as pressure is applied; the green outer leaves wrinkle and shift, and inner leaves loosen, with the pale core showing through. The surface is damp and slightly slick with released juice; fibers loosen and some shreds detach, mixing with the moisture. The volume decreases as liquid exits, leaving a softer, pliable, mottled block. The person presses with palms and fingers, sometimes twisting or wringing sections to continue extraction.","End state: a compact, damp mass of cabbage shreds, pale green to yellow, with translucent edges. The surface is glossy from remaining moisture; the mass holds a rough wedge or block shape and shows little free liquid, though a small pool may remain. The cabbage has been drained and squeezed dry. The person may be transferring the squeezed cabbage into a jar or bowl for fermentation or salting, then wiping their hands."
squeezing_ginger,"Initial state: A fresh ginger rhizome—knobby and irregular, about 2–4 inches long. Tan-brown skin, thin and slightly papery; when cut, pale yellow-orange, fibrous flesh is visible. The surface is firm and taut, with a crisp snap feel. The person is just beginning to squeeze by gripping the piece with both hands, thumbs and fingers around the body, applying gentle pressure to test firmness.","As squeezing continues, the ginger's surface darkens where pressure is applied; peeled tissue becomes pliable and compresses into a flattened, irregular disk. Juice beads at incisions and pools along the edges. Interior fibers fray, releasing stringy strands that cling to fingers, leaving a tacky, pale yellow-orange residue. The piece dents under pressure, develops creases and cavities, and emits a sharp, citrusy aroma as the hand twists, rolls, and presses.","End state: A damp, compact ginger pulp—pale yellow-brown, fibrous and sticky—with a thin sheen of pressed juice on the surface; any liquid has pooled in a nearby container. The squeezed mass is a small, cohesive lump. The person finished may be tilting a bowl to collect juice, scraping the pulp into a dish, or wiping their hands."
